time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-03-15T23:33:20.980Z,17.9808,-66.791,18,2.53,md,8,197,0.0884,0.13,pr,pr2020075032,2020-03-16T21:52:37.040Z,"Puerto Rico region",earthquake,1.35,0.97,0.26,5,reviewed,pr,pr
2020-03-15T22:48:11.010Z,17.867,-66.9485,9,2.62,md,8,252,0.1284,0.15,pr,pr2020075029,2020-03-16T00:48:47.040Z,"Puerto Rico region",earthquake,1.19,1.12,0.27,3,reviewed,pr,pr
2020-03-15T22:23:35.030Z,17.8871,-66.7233,5,2.55,md,6,216,0.179,0.19,pr,pr2020075031,2020-03-16T00:48:04.382Z,"Puerto Rico region",earthquake,1.16,0.67,0.36,2,reviewed,pr,pr
2020-03-15T22:04:25.403Z,27.4043,55.3461,10,5.3,mww,,38,2.567,0.63,us,us60008g7m,2020-03-16T14:53:57.040Z,"southern Iran",earthquake,6.8,1.8,0.078,16,reviewed,us,us
2020-03-15T19:44:59.970Z,17.9988,-66.7423,18,3.06,md,7,189,0.1389,0.12,pr,pr2020075026,2020-03-16T07:18:33.672Z,"Puerto Rico",earthquake,1.16,0.92,0.22,4,reviewed,pr,pr
2020-03-15T18:33:38.867Z,0.4108,-68.9891,10,4.8,mb,,94,6.91,0.98,us,us60008g51,2020-03-15T18:49:11.040Z,"Amazonas, Brazil",earthquake,8.9,1.9,0.109,26,reviewed,us,us
2020-03-15T18:09:59.800Z,17.9035,-66.7955,11,2.78,md,6,237,0.1101,0.09,pr,pr2020075024,2020-03-15T19:37:13.997Z,"Puerto Rico region",earthquake,0.94,0.78,0.02,3,reviewed,pr,pr
2020-03-15T17:39:47.060Z,17.9851,-66.8133,14,2.61,md,7,188,0.0667,0.2,pr,pr2020075025,2020-03-15T19:52:55.606Z,"Puerto Rico",earthquake,1.16,1.11,0.1,3,reviewed,pr,pr
2020-03-15T17:30:56.305Z,5.8,-32.9002,10,4.7,mb,,90,12.901,0.86,us,us60008g4n,2020-03-15T18:54:35.040Z,"central Mid-Atlantic Ridge",earthquake,8.7,1.7,0.054,103,reviewed,us,us
2020-03-15T17:28:44.670Z,17.9895,-66.7983,14,2.61,md,5,187,0.0822,0.12,pr,pr2020075022,2020-03-15T19:36:44.838Z,"Puerto Rico region",earthquake,1.57,1.34,0.01,3,reviewed,pr,pr
